id,invoice_description,amount_usd,is_fraud,fraud_type
INV-2026-10001,Monthly retainer for cloud infrastructure hosting per Master Service Agreement MSA-859 and PO-46048.,37087.09,0,none
INV-2026-10002,Special management advisory fee regarding Q3 corporate restructuring.,11713.26,1,fraud
INV-2026-10003,Routine notice: Scheduled update to primary remittance account #7873 for contract CTR-127.,11801.59,0,none
INV-2026-10004,Special management advisory fee regarding Q3 corporate restructuring.,14615.7,1,fraud
INV-2026-10005,Fulfillment of PO-22156: 200 units of part #PRD-2584 shipped to Chicago distribution hub.,42527.22,0,none
INV-2026-10006,Special management advisory fee regarding Q3 corporate restructuring.,7116.48,1,fraud
INV-2026-10007,Executive travel reimbursement and client dining expense report for Q2 strategic review.,35524.02,0,none
INV-2026-10008,URGENT: Confidential wire transfer directive from executive committee. Settlement needed within 24 hours.,19626.19,1,fraud
INV-2026-10009,Executive travel reimbursement and client dining expense report for Q2 strategic review.,35389.2,0,none
INV-2026-10010,URGENT: Confidential wire transfer directive from executive committee. Settlement needed within 24 hours.,23650.75,1,fraud
INV-2026-10011,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-324. Approved by IT director.,41268.33,0,none
INV-2026-10012,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -4483.,33116.49,1,fraud
INV-2026-10013,Executive travel reimbursement and client dining expense report for Q2 strategic review.,13874.34,0,none
INV-2026-10014,Special management advisory fee regarding Q3 corporate restructuring.,25966.79,1,fraud
INV-2026-10015,Monthly retainer for cloud infrastructure hosting per Master Service Agreement MSA-981 and PO-24371.,30224.04,0,none
INV-2026-10016,Re-submission: Invoice for PO-71348 services rendered. Remit via updated wire transfer protocol.,34333.89,1,fraud
INV-2026-10017,Monthly retainer for freight shipping per Master Service Agreement MSA-868 and PO-44973.,15381.51,0,none
INV-2026-10018,Quarterly consulting retainer for executive legal counsel support. Direct payment required per invoice terms.,45718.76,1,fraud
INV-2026-10019,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-723. Approved by IT director.,27429.57,0,none
INV-2026-10020,Special management advisory fee regarding Q3 corporate restructuring.,46525.83,1,fraud
INV-2026-10021,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-159. Approved by IT director.,36863.47,0,none
INV-2026-10022,URGENT: Confidential wire transfer directive from executive committee. Settlement needed within 24 hours.,13987.77,1,fraud
INV-2026-10023,Routine notice: Scheduled update to primary remittance account #6107 for contract CTR-316.,20550.62,0,none
INV-2026-10024,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -4681.,4137.27,1,fraud
INV-2026-10025,Monthly retainer for freight shipping per Master Service Agreement MSA-667 and PO-40161.,4478.66,0,none
INV-2026-10026,URGENT: Confidential wire transfer directive from executive committee. Settlement needed within 24 hours.,12662.23,1,fraud
INV-2026-10027,Executive travel reimbursement and client dining expense report for Q2 strategic review.,39446.35,0,none
INV-2026-10028,Re-submission: Invoice for PO-22704 services rendered. Remit via updated wire transfer protocol.,21755.35,1,fraud
INV-2026-10029,Executive travel reimbursement and client dining expense report for Q2 strategic review.,20728.44,0,none
INV-2026-10030,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -8350.,7868.93,1,fraud
INV-2026-10031,Fulfillment of PO-42742: 50 units of part #PRD-8260 shipped to Chicago distribution hub.,3478.83,0,none
INV-2026-10032,Special management advisory fee regarding Q3 corporate restructuring.,24586.56,1,fraud
INV-2026-10033,Executive travel reimbursement and client dining expense report for Q2 strategic review.,46399.39,0,none
INV-2026-10034,Re-submission: Invoice for PO-82845 services rendered. Remit via updated wire transfer protocol.,10305.0,1,fraud
INV-2026-10035,Fulfillment of PO-81066: 50 units of part #PRD-6138 shipped to Chicago distribution hub.,3456.97,0,none
INV-2026-10036,Re-submission: Invoice for PO-79615 services rendered. Remit via updated wire transfer protocol.,4925.46,1,fraud
INV-2026-10037,Fulfillment of PO-18907: 500 units of part #PRD-4853 shipped to Chicago distribution hub.,6874.44,0,none
INV-2026-10038,Special management advisory fee regarding Q3 corporate restructuring.,33211.29,1,fraud
INV-2026-10039,Routine notice: Scheduled update to primary remittance account #4910 for contract CTR-423.,14015.11,0,none
INV-2026-10040,Quarterly consulting retainer for hardware maintenance support. Direct payment required per invoice terms.,31436.8,1,fraud
INV-2026-10041,Routine notice: Scheduled update to primary remittance account #5345 for contract CTR-175.,7490.37,0,none
INV-2026-10042,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -8179.,41853.5,1,fraud
INV-2026-10043,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-926. Approved by IT director.,46656.05,0,none
INV-2026-10044,URGENT: Confidential wire transfer directive from executive committee. Settlement needed within 24 hours.,14806.06,1,fraud
INV-2026-10045,Fulfillment of PO-93130: 200 units of part #PRD-9280 shipped to Chicago distribution hub.,13304.94,0,none
INV-2026-10046,URGENT: Confidential wire transfer directive from executive committee. Settlement needed within 24 hours.,17344.27,1,fraud
INV-2026-10047,Fulfillment of PO-67912: 500 units of part #PRD-8007 shipped to Chicago distribution hub.,6481.82,0,none
INV-2026-10048,Quarterly consulting retainer for freight shipping support. Direct payment required per invoice terms.,7244.83,1,fraud
INV-2026-10049,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-915. Approved by IT director.,33679.74,0,none
INV-2026-10050,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -4878.,43365.68,1,fraud
INV-2026-10051,Fulfillment of PO-33509: 500 units of part #PRD-6442 shipped to Chicago distribution hub.,40309.52,0,none
INV-2026-10052,Quarterly consulting retainer for hardware maintenance support. Direct payment required per invoice terms.,11899.25,1,fraud
INV-2026-10053,Executive travel reimbursement and client dining expense report for Q2 strategic review.,20524.83,0,none
INV-2026-10054,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -7548.,34296.39,1,fraud
INV-2026-10055,Routine notice: Scheduled update to primary remittance account #5349 for contract CTR-128.,2874.6,0,none
INV-2026-10056,Special management advisory fee regarding Q3 corporate restructuring.,19874.58,1,fraud
INV-2026-10057,Routine notice: Scheduled update to primary remittance account #1027 for contract CTR-360.,26476.1,0,none
INV-2026-10058,Special management advisory fee regarding Q3 corporate restructuring.,33505.99,1,fraud
INV-2026-10059,Monthly retainer for hardware maintenance per Master Service Agreement MSA-619 and PO-50538.,20717.62,0,none
INV-2026-10060,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -3851.,31160.23,1,fraud
INV-2026-10061,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-661. Approved by IT director.,22064.52,0,none
INV-2026-10062,Special management advisory fee regarding Q3 corporate restructuring.,34105.73,1,fraud
INV-2026-10063,Routine notice: Scheduled update to primary remittance account #5649 for contract CTR-912.,26257.15,0,none
INV-2026-10064,Special management advisory fee regarding Q3 corporate restructuring.,40521.58,1,fraud
INV-2026-10065,Fulfillment of PO-42092: 200 units of part #PRD-2193 shipped to Chicago distribution hub.,21307.61,0,none
INV-2026-10066,Special management advisory fee regarding Q3 corporate restructuring.,8231.0,1,fraud
INV-2026-10067,Monthly retainer for cloud infrastructure hosting per Master Service Agreement MSA-897 and PO-65724.,23762.94,0,none
INV-2026-10068,Special management advisory fee regarding Q3 corporate restructuring.,33711.31,1,fraud
INV-2026-10069,Routine notice: Scheduled update to primary remittance account #7991 for contract CTR-424.,41697.89,0,none
INV-2026-10070,Special management advisory fee regarding Q3 corporate restructuring.,42153.28,1,fraud
INV-2026-10071,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-596. Approved by IT director.,4796.68,0,none
INV-2026-10072,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -2320.,7780.33,1,fraud
INV-2026-10073,Fulfillment of PO-30028: 500 units of part #PRD-4505 shipped to Chicago distribution hub.,21328.53,0,none
INV-2026-10074,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -7883.,20084.36,1,fraud
INV-2026-10075,Routine notice: Scheduled update to primary remittance account #1096 for contract CTR-977.,47194.34,0,none
INV-2026-10076,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -4613.,24923.24,1,fraud
INV-2026-10077,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-597. Approved by IT director.,36484.89,0,none
INV-2026-10078,Re-submission: Invoice for PO-80008 services rendered. Remit via updated wire transfer protocol.,5113.43,1,fraud
INV-2026-10079,Executive travel reimbursement and client dining expense report for Q2 strategic review.,19576.09,0,none
INV-2026-10080,Quarterly consulting retainer for executive legal counsel support. Direct payment required per invoice terms.,13361.31,1,fraud
INV-2026-10081,Monthly retainer for executive legal counsel per Master Service Agreement MSA-119 and PO-80702.,32857.06,0,none
INV-2026-10082,URGENT: Confidential wire transfer directive from executive committee. Settlement needed within 24 hours.,7184.83,1,fraud
INV-2026-10083,Monthly retainer for freight shipping per Master Service Agreement MSA-323 and PO-70952.,9221.67,0,none
INV-2026-10084,Special management advisory fee regarding Q3 corporate restructuring.,46515.47,1,fraud
INV-2026-10085,Routine notice: Scheduled update to primary remittance account #2669 for contract CTR-506.,35162.46,0,none
INV-2026-10086,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -6688.,27104.52,1,fraud
INV-2026-10087,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-618. Approved by IT director.,41294.21,0,none
INV-2026-10088,URGENT: Confidential wire transfer directive from executive committee. Settlement needed within 24 hours.,9630.71,1,fraud
INV-2026-10089,Routine notice: Scheduled update to primary remittance account #8136 for contract CTR-730.,41461.0,0,none
INV-2026-10090,Special management advisory fee regarding Q3 corporate restructuring.,12949.31,1,fraud
INV-2026-10091,Executive travel reimbursement and client dining expense report for Q2 strategic review.,25221.02,0,none
INV-2026-10092,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -6576.,14703.27,1,fraud
INV-2026-10093,Routine notice: Scheduled update to primary remittance account #2402 for contract CTR-669.,12826.45,0,none
INV-2026-10094,Re-submission: Invoice for PO-41499 services rendered. Remit via updated wire transfer protocol.,22960.55,1,fraud
INV-2026-10095,Monthly retainer for cloud infrastructure hosting per Master Service Agreement MSA-401 and PO-39045.,33534.04,0,none
INV-2026-10096,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -6419.,18238.72,1,fraud
INV-2026-10097,Executive travel reimbursement and client dining expense report for Q2 strategic review.,16461.85,0,none
INV-2026-10098,Special management advisory fee regarding Q3 corporate restructuring.,36504.67,1,fraud
INV-2026-10099,Routine notice: Scheduled update to primary remittance account #4727 for contract CTR-389.,18683.17,0,none
INV-2026-10100,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -1745.,48740.45,1,fraud
INV-2026-10101,Routine notice: Scheduled update to primary remittance account #2680 for contract CTR-814.,43763.27,0,none
INV-2026-10102,Special management advisory fee regarding Q3 corporate restructuring.,48309.38,1,fraud
INV-2026-10103,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-216. Approved by IT director.,29274.04,0,none
INV-2026-10104,URGENT: Confidential wire transfer directive from executive committee. Settlement needed within 24 hours.,6804.13,1,fraud
INV-2026-10105,Executive travel reimbursement and client dining expense report for Q2 strategic review.,23075.21,0,none
INV-2026-10106,Re-submission: Invoice for PO-87139 services rendered. Remit via updated wire transfer protocol.,30871.91,1,fraud
INV-2026-10107,Monthly retainer for cybersecurity compliance audit per Master Service Agreement MSA-740 and PO-37659.,12753.39,0,none
INV-2026-10108,Special management advisory fee regarding Q3 corporate restructuring.,15271.71,1,fraud
